catchment,year,month,core_number,substrate_type,inorganic_g,organic_g,inorganic_gperm2,organic_gperm2,totalsediment_gperm2
99,1997,june,3,coarse,0.02140000000000008,0.03149999999999986,0.8560000000000031,1.2599999999999945,2.1159999999999974
99,1997,june,3,very fine,25.976800000000008,2.0368000000000106,1039.0720000000003,81.4720000000004,1120.5440000000008
99,1997,june,4,fine,1.9226,0.04220000000000023,76.904,1.6880000000000095,78.59200000000001
99,1997,june,4,coarse,0.18139999999999976,0.01,7.25599999999999,0.4000000000000003,7.65599999999999
99,1997,june,4,very fine,7.934400000000003,0.30400000000000027,317.3760000000001,12.160000000000013,329.5360000000001
99,1997,june,5,fine,4.2042,0.6219000000000001,168.168,24.876000000000005,193.044
99,1997,june,5,coarse,0.02990000000000003,0.06979999999999986,1.196000000000001,2.7919999999999945,3.9879999999999955
99,1997,june,5,very fine,79.0248,6.824800000000025,3160.9919999999997,272.992000000001,3433.984000000001
99,1997,june,6,fine,2.4170000000000003,0.09650000000000024,96.68,3.8600000000000105,100.54000000000002
99,1997,june,6,coarse,0.02029999999999998,0.01650000000000018,0.8119999999999992,0.6600000000000072,1.4720000000000064
99,1997,june,6,very fine,20.504800000000003,0.6383999999999972,820.1920000000001,25.535999999999888,845.7280000000001
99,1997,june,7,fine,3.0441,0.12619999999999987,121.76399999999998,5.047999999999995,126.81199999999998
99,1997,june,7,coarse,0.04499999999999992,0.01829999999999998,1.7999999999999967,0.7319999999999993,2.531999999999996
99,1997,june,7,very fine,30.460799999999985,1.884800000000034,1218.4319999999993,75.39200000000136,1293.8240000000008
99,1997,june,8,fine,2.5353000000000003,0.15719999999999956,101.412,6.2879999999999825,107.69999999999999
99,1997,june,8,coarse,0.01970000000000005,0.01879999999999992,0.788000000000002,0.7519999999999971,1.5399999999999991
99,1997,june,8,very fine,26.3568,1.3832000000000164,1054.272,55.32800000000066,1109.6000000000006
99,1997,june,9,fine,3.3096999999999994,0.0694000000000008,132.38799999999998,2.776000000000032,135.16400000000002
99,1997,june,9,coarse,0.16989999999999994,0.01070000000000015,6.795999999999998,0.42800000000000615,7.224000000000004
99,1997,june,9,very fine,17.692799999999977,0.7296000000000192,707.7119999999991,29.184000000000765,736.8959999999998
99,1997,june,10,fine,1.5569,0.07960000000000012,62.275999999999996,3.1840000000000046,65.46000000000001
99,1997,june,10,coarse,0.10509999999999996,NA,4.203999999999998,NA,NA
99,1997,june,10,very fine,27.101599999999983,1.3527999999999878,1084.0639999999992,54.11199999999951,1138.1759999999986
99L,1997,november,1,fine,9.0613,0.25680000000000014,362.45199999999994,10.272000000000006,372.72399999999993
99L,1997,november,1,coarse,0.02169999999999983,0.03100000000000013,0.8679999999999932,1.2400000000000055,2.1079999999999988
99L,1997,november,1,very fine,269.5112,4.058400000000006,10780.447999999999,162.33600000000024,10942.784
99L,1997,november,2,fine,4.962,0.3262999999999998,198.48,13.051999999999992,211.53199999999998
99L,1997,november,2,coarse,0.02480000000000015,0.04049999999999998,0.9920000000000059,1.6199999999999992,2.612000000000005
99L,1997,november,2,very fine,96.6112,3.2831999999999653,3864.448,131.3279999999986,3995.7759999999985
99L,1997,november,3,fine,1.3295,0.34220000000000006,53.17999999999999,13.688000000000002,66.868
99L,1997,november,3,coarse,0.01229999999999997,0.04289999999999993,0.4919999999999988,1.7159999999999975,2.207999999999996
99L,1997,november,3,very fine,87.87119999999997,4.970400000000026,3514.8479999999986,198.81600000000105,3713.6639999999998
99L,1997,november,4,fine,1.2187,0.46629999999999994,48.74799999999999,18.651999999999997,67.39999999999999
99L,1997,november,4,coarse,0.01469999999999993,0.05610000000000003,0.5879999999999972,2.2440000000000015,2.831999999999999
99L,1997,november,4,very fine,122.0104,3.693600000000032,4880.416,147.74400000000128,5028.160000000002
99L,1997,november,5,fine,1.333,0.6050999999999997,53.31999999999999,24.20399999999999,77.52399999999999
99L,1997,november,5,coarse,0.00469999999999992,0.04590000000000005,0.1879999999999968,1.836000000000002,2.0239999999999987
99L,1997,november,5,very fine,119.5024,8.26879999999997,4780.096,330.7519999999988,5110.847999999998
99L,1997,november,6,fine,5.0743,0.21560000000000024,202.97199999999998,8.62400000000001,211.596
99L,1997,november,6,coarse,0.0411999999999999,0.0270999999999999,1.6479999999999961,1.083999999999996,2.731999999999992
99L,1997,november,6,very fine,178.5088,3.9519999999999698,7140.352,158.0799999999988,7298.431999999999
99L,1997,november,7,fine,6.3089,0.1772999999999998,252.356,7.091999999999992,259.448
99L,1997,november,7,coarse,0.06730000000000012,0.01939999999999986,2.6920000000000046,0.7759999999999944,3.467999999999999
99L,1997,november,7,very fine,123.044,3.3135999999999797,4921.759999999999,132.5439999999992,5054.303999999998
99L,1997,november,8,fine,6.609699999999999,0.3340000000000014,264.388,13.360000000000056,277.74800000000005
99L,1997,november,8,coarse,0.05909999999999993,0.03390000000000004,2.363999999999997,1.3560000000000016,3.719999999999999
