catchment,year,month,distance_m,width_m,rockyoutcrop_percent,boulder_percent,rubble_percent,gravel_percent,detritus_percent,sandsilt_percent,woodbarrier_count,rockbarrier_count,smallbranches_count,largebranches_count,totalbranches_count,trees_count,largeleafpack_count,smallleafpack_count,run_percent,riffle_percent,pool_percent,plungepool_percent,falls_percent,deciduous_percent,coniferous_percent,canopyarea_percent,slope,depth1_cm,depth2_cm,depth3_cm,depth4_cm,depth5_cm
31,1999,july,30,NA,NA,NA,NA,NA,NA,NA,0,0,200,4,NA,0,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,40,NA,NA,NA,NA,NA,NA,NA,0,0,75,2,NA,0,0,3,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,50,NA,NA,NA,NA,NA,NA,NA,1,0,20,3,NA,0,0,0,NA,NA,NA,NA,NA,95,5,NA,NA,NA,NA,NA,NA,NA
31,1999,july,60,NA,NA,NA,NA,NA,NA,NA,1,0,37,2,NA,0,2,1,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,70,NA,NA,NA,NA,NA,NA,NA,0,0,47,0,NA,0,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,80,NA,NA,NA,NA,NA,NA,NA,0,0,43,2,NA,0,1,2,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,90,NA,NA,NA,NA,NA,NA,NA,0,0,140,2,NA,2,1,2,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,100,NA,NA,NA,NA,NA,NA,NA,1,0,85,3,NA,1,2,1,NA,NA,NA,NA,NA,95,5,NA,NA,NA,NA,NA,NA,NA
31,1999,july,110,NA,NA,NA,NA,NA,NA,NA,1,0,65,4,NA,2,0,0,NA,NA,NA,NA,NA,95,5,NA,NA,NA,NA,NA,NA,NA
31,1999,july,120,NA,NA,NA,NA,NA,NA,NA,0,0,62,2,NA,0,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,130,NA,NA,NA,NA,NA,NA,NA,0,0,88,1,NA,0,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,140,NA,NA,NA,NA,NA,NA,NA,0,0,200,0,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,150,NA,NA,NA,NA,NA,NA,NA,0,0,64,0,NA,1,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,160,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,170,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,180,NA,NA,NA,NA,NA,NA,NA,0,0,25,4,NA,3,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,190,NA,NA,NA,NA,NA,NA,NA,0,0,35,2,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,200,NA,NA,NA,NA,NA,NA,NA,0,0,200,0,NA,4,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,210,NA,NA,NA,NA,NA,NA,NA,0,0,54,0,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,220,NA,NA,NA,NA,NA,NA,NA,0,0,94,0,NA,0,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,230,NA,NA,NA,NA,NA,NA,NA,0,0,62,0,NA,3,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,240,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,250,NA,NA,NA,NA,NA,NA,NA,0,0,57,0,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,260,NA,NA,NA,NA,NA,NA,NA,0,0,76,0,NA,2,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,270,NA,NA,NA,NA,NA,NA,NA,0,0,85,0,NA,1,0,0,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA
31,1999,july,280,NA,NA,NA,NA,NA,NA,NA,0,0,450,0,NA,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1999,july,290,NA,NA,NA,NA,NA,NA,NA,0,0,25,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1999,july,300,NA,NA,NA,NA,NA,NA,NA,0,0,40,0,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2000,july,10,1.5,NA,NA,NA,NA,NA,NA,0,0,55,8,NA,1,0,3,NA,NA,NA,NA,NA,95,5,50,NA,NA,NA,NA,NA,NA
31,2000,july,20,1.2,NA,NA,NA,NA,NA,NA,0,0,500,0,NA,0,1,2,NA,NA,NA,NA,NA,95,5,30,NA,NA,NA,NA,NA,NA
31,2000,july,30,1.2,NA,NA,NA,NA,NA,NA,0,0,45,3,NA,1,0,3,NA,NA,NA,NA,NA,100,0,10,NA,NA,NA,NA,NA,NA
31,2000,july,40,1.3,NA,NA,NA,NA,NA,NA,0,0,76,2,NA,0,2,5,NA,NA,NA,NA,NA,100,0,10,NA,1,3,4,2,1
31,2000,july,50,1,NA,NA,NA,NA,NA,NA,1,0,75,2,NA,0,0,4,NA,NA,NA,NA,NA,100,0,30,NA,1,2,1,1,1
31,2000,july,60,1.5,NA,NA,NA,NA,NA,NA,1,0,170,1,NA,0,8,3,NA,NA,NA,NA,NA,100,0,5,NA,1,4,2,1,1
31,2000,july,70,3.8,NA,NA,NA,NA,NA,NA,1,0,140,0,NA,0,1,12,NA,NA,NA,NA,NA,95,5,40,NA,1,2,2,3,1
31,2000,july,80,1,NA,NA,NA,NA,NA,NA,1,0,170,2,NA,0,4,13,NA,NA,NA,NA,NA,95,5,70,NA,NA,NA,NA,NA,NA
31,2000,july,90,0.7,NA,NA,NA,NA,NA,NA,0,0,300,10,NA,0,7,3,NA,NA,NA,NA,NA,95,5,20,NA,NA,NA,NA,NA,NA
