catchment,year,date_in,date_out,daysout_number,trap_number,sieve_size,inorganic_g,organic_g,organic_gperm2
34L,2000,2000-05-03,2000-07-20,78,6,coarse,0.9561999999999999,1.3605999999999998,13.605999999999998
34L,2000,2000-07-20,2000-10-12,77,1,fine,4.6627,1.0783000000000005,10.783000000000005
34L,2000,2000-07-20,2000-10-12,77,1,coarse,5.4745,1.1586,11.586
34L,2000,2000-07-20,2000-10-12,77,2,fine,20.3924,0.6981000000000002,6.981000000000002
34L,2000,2000-07-20,2000-10-12,77,2,coarse,15.087399999999999,1.2068000000000012,12.068000000000012
34L,2000,2000-07-20,2000-10-12,77,3,fine,1.8823,0.8644000000000005,8.644000000000005
34L,2000,2000-07-20,2000-10-12,77,3,coarse,2.2816,1.5435,15.435
34L,2000,2000-07-20,2000-10-12,77,4,fine,0.6166999999999998,0.5489000000000002,5.489000000000002
34L,2000,2000-07-20,2000-10-12,77,4,coarse,1.5065,1.0835,10.834999999999999
34L,2000,2000-07-20,2000-10-12,77,5,fine,7.2722,1.1728000000000005,11.728000000000005
34L,2000,2000-07-20,2000-10-12,77,5,coarse,6.754,2.506400000000001,25.06400000000001
34L,2000,2000-07-20,2000-10-12,77,6,fine,14.608600000000001,0.47080000000000055,4.7080000000000055
34L,2000,2000-07-20,2000-10-12,77,6,coarse,13.9216,3.0317999999999987,30.317999999999987
34M,1996,1996-07-02,1996-09-25,84,1,coarse,1.2191999999999998,6.405600000000001,64.05600000000001
34M,1996,1996-07-02,1996-09-25,84,1,fine,2.7099999999999995,3.2209999999999996,32.209999999999994
34M,1996,1996-07-02,1996-09-25,84,2,coarse,0.8296000000000006,4.5916999999999994,45.916999999999994
34M,1996,1996-07-02,1996-09-25,84,2,fine,1.6636000000000002,2.0055999999999994,20.055999999999994
34M,1996,1996-07-02,1996-09-25,84,3,coarse,2.1017999999999994,10.4409,104.40899999999999
34M,1996,1996-07-02,1996-09-25,84,3,fine,5.3514,3.530900000000001,35.30900000000001
34M,1996,1996-07-02,1996-09-25,84,4,coarse,4.953000000000001,1.6361999999999988,16.361999999999988
34M,1996,1996-07-02,1996-09-25,84,4,fine,1.6955,0.9713000000000003,9.713000000000003
34M,1996,1996-07-02,1996-09-25,84,5,coarse,4.857100000000001,5.0123999999999995,50.123999999999995
34M,1996,1996-07-02,1996-09-25,84,5,fine,5.2933,2.5846,25.846
34M,1996,1996-07-02,1996-09-25,84,6,coarse,3.4275999999999995,7.529499999999999,75.29499999999999
34M,1996,1996-07-02,1996-09-25,84,6,fine,6.685600000000001,3.7372999999999994,37.37299999999999
34M,1996,1996-09-25,1996-11-13,49,1,coarse,19.655099999999997,10.554100000000002,105.54100000000003
34M,1996,1996-09-25,1996-11-13,49,1,fine,17.3709,3.936199999999999,39.36199999999999
34M,1996,1996-09-25,1996-11-13,49,2,coarse,4.2502,11.565299999999995,115.65299999999995
34M,1996,1996-09-25,1996-11-13,49,2,fine,5.0295000000000005,3.8606,38.605999999999995
34M,1996,1996-09-25,1996-11-13,49,3,coarse,NA,NA,NA
34M,1996,1996-09-25,1996-11-13,49,3,fine,NA,NA,NA
34M,1996,1996-09-25,1996-11-13,49,4,coarse,NA,NA,NA
34M,1996,1996-09-25,1996-11-13,49,4,fine,NA,NA,NA
34M,1996,1996-09-25,1996-11-13,49,5,coarse,31.153599999999997,8.9585,89.58500000000001
34M,1996,1996-09-25,1996-11-13,49,5,fine,24.8828,4.252799999999997,42.52799999999997
34M,1996,1996-09-25,1996-11-13,49,6,coarse,31.9369,5.564799999999998,55.64799999999998
34M,1996,1996-09-25,1996-11-13,49,6,fine,21.322300000000002,2.567,25.67
34M,1997,1997-05-25,1997-08-18,86,1,fine,2.774800000000001,1.2623999999999995,12.623999999999995
34M,1997,1997-05-25,1997-08-18,86,1,coarse,1.6649000000000012,3.437099999999999,34.370999999999995
34M,1997,1997-05-25,1997-08-18,86,2,fine,40.375,20.426700000000004,204.26700000000005
34M,1997,1997-05-25,1997-08-18,86,2,coarse,12.602599999999999,28.1468,281.46799999999996
34M,1997,1997-05-25,1997-08-18,86,3,fine,1.0922999999999998,0.7071000000000005,7.071000000000005
